Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
rpoN (AL347_11175);mexH;+;mexH
rpoN (AL347_11175);nmoA;+;nmoA
rpoN (AL347_11175);PA4201;+;PA4201 (ddlA)
rpoN (AL347_11175);PA4173;+;PA4173
rpoN (AL347_11175);PA4172;+;PA4172
rpoN (AL347_11175);PA4171;+;PA4171
rpoN (AL347_11175);PA4070;+;PA4070
rpoN (AL347_11175);PA4069;+;PA4069
rpoN (AL347_11175);PA4068;+;PA4068
rpoN (AL347_11175);PA4046;+;PA4046
rpoN (AL347_11175);PA4045;+;PA4045
rpoN (AL347_11175);PA4030;+;PA4030
rpoN (AL347_11175);PA4025;+;PA4025 (eutC)
rpoN (AL347_11175);PA4024;+;PA4024 (eutB)
rpoN (AL347_11175);PA4023;+;PA4023 (eat, eutP)
rpoN (AL347_11175);PA4022;+;PA4022 (hdhA, exaC2)
rpoN (AL347_11175);PA4021;+;PA4021 (eatR)
rpoN (AL347_11175);PA4015;+;PA4015
rpoN (AL347_11175);PA4013;+;PA4013
rpoN (AL347_11175);PA3983;+;PA3983
rpoN (AL347_11175);PA3954;+;PA3954 (sfnG)
rpoN (AL347_11175);PA3891;+;PA3891 (opuCA)
rpoN (AL347_11175);PA3890;+;PA3890 (opuCB)
rpoN (AL347_11175);PA3889;+;PA3889 (opuCC)
rpoN (AL347_11175);PA3888;+;PA3888 (opuCD)
rpoN (AL347_11175);PA3823;+;PA3823 (tgt)
rpoN (AL347_11175);PA3798;+;PA3798
rpoN (AL347_11175);PA3783;+;PA3783
rpoN (AL347_11175);PA3782;+;PA3782
rpoN (AL347_11175);PA3771;+;PA3771
rpoN (AL347_11175);PA3770;+;PA3770 (guaB)
rpoN (AL347_11175);PA3769;+;PA3769 (guaA)
rpoN (AL347_11175);PA3748;+;PA3748
rpoN (AL347_11175);PA3746;+;PA3746 (ffh)
rpoN (AL347_11175);PA3745;+;PA3745 (rpsP)
rpoN (AL347_11175);PA3744;+;PA3744 (rimM)
rpoN (AL347_11175);PA3743;+;PA3743 (trmD)
rpoN (AL347_11175);PA3742;+;PA3742 (rplS)
rpoN (AL347_11175);nalC;+;nalC
rpoN (AL347_11175);armR;+;armR
rpoN (AL347_11175);lptF;+;lptF
rpoN (AL347_11175);PA3691;+;PA3691
rpoN (AL347_11175);PA3655;+;PA3655 (tsf)
rpoN (AL347_11175);PA3651;+;PA3651 (cdsA)
rpoN (AL347_11175);PA3641;+;PA3641
rpoN (AL347_11175);PA3597;+;PA3597
rpoN (AL347_11175);PA3596;+;PA3596
rpoN (AL347_11175);PA3594;+;PA3594
rpoN (AL347_11175);glpD;+;glpD
rpoN (AL347_11175);PA3567;+;PA3567
rpoN (AL347_11175);PA3526;+;PA3526 (motY)
rpoN (AL347_11175);rhlA;+;rhlA
rpoN (AL347_11175);rhlB;+;rhlB
rpoN (AL347_11175);rhlR;+;rhlR
rpoN (AL347_11175);PA3460;+;PA3460
rpoN (AL347_11175);PA3440;+;PA3440
rpoN (AL347_11175);PA3436;+;PA3436
rpoN (AL347_11175);PA3405;+;PA3405 (hasE)
rpoN (AL347_11175);PA3403;+;PA3403
rpoN (AL347_11175);PA3402;+;PA3402
rpoN (AL347_11175);PA3401;+;PA3401
rpoN (AL347_11175);PA3400;+;PA3400
rpoN (AL347_11175);PA3386;+;PA3386
rpoN (AL347_11175);PA3371;+;PA3371
rpoN (AL347_11175);PA3370;+;PA3370
rpoN (AL347_11175);PA3369;+;PA3369
rpoN (AL347_11175);lecB;+;lecB
rpoN (AL347_11175);PA3360;+;PA3360
rpoN (AL347_11175);PA3359;+;PA3359
rpoN (AL347_11175);PA3353;+;PA3353 (flgZ)
rpoN (AL347_11175);PA3350;+;PA3350
rpoN (AL347_11175);PA3349;+;PA3349
rpoN (AL347_11175);PA3346;+;PA3346 (hsbR)
rpoN (AL347_11175);PA3340;+;PA3340
rpoN (AL347_11175);plcN;+;plcN
rpoN (AL347_11175);PA3318;+;PA3318
rpoN (AL347_11175);PA3307;+;PA3307
rpoN (AL347_11175);PA3306;+;PA3306
rpoN (AL347_11175);PA3274;+;PA3274
rpoN (AL347_11175);PA3254;+;PA3254
rpoN (AL347_11175);PA3253;+;PA3253
rpoN (AL347_11175);PA3252;+;PA3252
rpoN (AL347_11175);PA3251;+;PA3251
rpoN (AL347_11175);PA3250;+;PA3250
rpoN (AL347_11175);PA3249;+;PA3249
rpoN (AL347_11175);PA3189;+;PA3189
rpoN (AL347_11175);PA3188;+;PA3188
rpoN (AL347_11175);PA3187;+;PA3187
rpoN (AL347_11175);PA3177;+;PA3177
rpoN (AL347_11175);PA3162;+;PA3162 (rpsA)
rpoN (AL347_11175);PA3108;+;PA3108 (purF)
rpoN (AL347_11175);PA3107;+;PA3107 (metZ)
rpoN (AL347_11175);PA3106;+;PA3106
rpoN (AL347_11175);PA3082;+;PA3082 (gbt)
rpoN (AL347_11175);PA3081;+;PA3081
rpoN (AL347_11175);pelA;+;pelA
rpoN (AL347_11175);pelB;+;pelB
rpoN (AL347_11175);pelC;+;pelC
rpoN (AL347_11175);pelD;+;pelD
rpoN (AL347_11175);pelE;+;pelE
rpoN (AL347_11175);PA3059;+;PA3059
rpoN (AL347_11175);pelG;+;pelG
rpoN (AL347_11175);PA3039;+;PA3039
rpoN (AL347_11175);PA3023;+;PA3023
rpoN (AL347_11175);PA3017;+;PA3017
rpoN (AL347_11175);psrA;+;psrA
rpoN (AL347_11175);PA2999;+;PA2999 (nqrA)
rpoN (AL347_11175);PA2998;+;PA2998 (nqrB)
rpoN (AL347_11175);PA2997;+;PA2997 (nqrC)
rpoN (AL347_11175);PA2996;+;PA2996 (nqrD)
rpoN (AL347_11175);PA2995;+;PA2995 (nqrE)
rpoN (AL347_11175);PA2994;+;PA2994 (nqrF)
rpoN (AL347_11175);PA2993;+;PA2993
rpoN (AL347_11175);PA2992;+;PA2992
rpoN (AL347_11175);PA2971;+;PA2971
rpoN (AL347_11175);PA2970;+;PA2970 (rpmF)
rpoN (AL347_11175);PA2969;+;PA2969 (plsX)
rpoN (AL347_11175);PA2968;+;PA2968 (fabD)
rpoN (AL347_11175);PA2956;+;PA2956
rpoN (AL347_11175);PA2955;+;PA2955
rpoN (AL347_11175);PA2954;+;PA2954
rpoN (AL347_11175);sbrR;+;sbrR
rpoN (AL347_11175);lipA;+;lipA
rpoN (AL347_11175);PA2849;+;PA2849 (ohrR)
rpoN (AL347_11175);PA2793;+;PA2793
rpoN (AL347_11175);PA2770;+;PA2770
rpoN (AL347_11175);PA2769;+;PA2769
rpoN (AL347_11175);PA2754;+;PA2754
rpoN (AL347_11175);PA2747;+;PA2747
rpoN (AL347_11175);PA2742;+;PA2742 (rpmI)
rpoN (AL347_11175);PA2740;+;PA2740 (pheS)
rpoN (AL347_11175);PA2739;+;PA2739 (pheT)
rpoN (AL347_11175);PA2708;+;PA2708
rpoN (AL347_11175);PA2704;+;PA2704
rpoN (AL347_11175);fhp;+;fhp
rpoN (AL347_11175);ppyR;+;ppyR
rpoN (AL347_11175);PA2662;+;PA2662
rpoN (AL347_11175);PA2654;+;PA2654 (tlpQ)
rpoN (AL347_11175);PA2653;+;PA2653
rpoN (AL347_11175);PA2604;+;PA2604
rpoN (AL347_11175);PA2575;+;PA2575
rpoN (AL347_11175);PA2561;+;PA2561
rpoN (AL347_11175);PA2560;+;PA2560
rpoN (AL347_11175);antR;+;antR
rpoN (AL347_11175);PA2509;+;PA2509 (catB)
rpoN (AL347_11175);PA2508;+;PA2508 (catC)
rpoN (AL347_11175);PA2507;+;PA2507 (catA)
rpoN (AL347_11175);mexF;+;mexF
rpoN (AL347_11175);gcvH2;+;gcvH2
rpoN (AL347_11175);gcvP2;+;gcvP2
rpoN (AL347_11175);sdaA;+;sdaA
rpoN (AL347_11175);PA2416;+;PA2416 (treA)
rpoN (AL347_11175);PA2415;+;PA2415
rpoN (AL347_11175);PA2414;+;PA2414
rpoN (AL347_11175);pvdH;+;pvdH
rpoN (AL347_11175);msuE;+;msuE
rpoN (AL347_11175);msuD;+;msuD
rpoN (AL347_11175);msuC;+;msuC
rpoN (AL347_11175);PA2354;+;PA2354 (sfnR1)
rpoN (AL347_11175);PA2351;+;PA2351
rpoN (AL347_11175);PA2350;+;PA2350
rpoN (AL347_11175);PA2349;+;PA2349
rpoN (AL347_11175);PA2348;+;PA2348
rpoN (AL347_11175);PA2347;+;PA2347
rpoN (AL347_11175);PA2346;+;PA2346
rpoN (AL347_11175);PA2345;+;PA2345
rpoN (AL347_11175);PA2326;+;PA2326
rpoN (AL347_11175);PA2266;+;PA2266
rpoN (AL347_11175);gad;+;gad
rpoN (AL347_11175);PA2264;+;PA2264
rpoN (AL347_11175);PA2244;+;PA2244 (pslN)
rpoN (AL347_11175);PA2200;+;PA2200
rpoN (AL347_11175);PA2199;+;PA2199
rpoN (AL347_11175);PA2198;+;PA2198
rpoN (AL347_11175);PA2197;+;PA2197
rpoN (AL347_11175);PA2187;+;PA2187
rpoN (AL347_11175);PA2181;+;PA2181
rpoN (AL347_11175);PA2178;+;PA2178
rpoN (AL347_11175);PA2175;+;PA2175
rpoN (AL347_11175);PA2173;+;PA2173
rpoN (AL347_11175);PA2172;+;PA2172
rpoN (AL347_11175);PA2171;+;PA2171
rpoN (AL347_11175);PA2170;+;PA2170
rpoN (AL347_11175);PA2168;+;PA2168
rpoN (AL347_11175);PA2167;+;PA2167
rpoN (AL347_11175);PA2166;+;PA2166
rpoN (AL347_11175);PA2165;+;PA2165
rpoN (AL347_11175);PA2164;+;PA2164
rpoN (AL347_11175);PA2163;+;PA2163
rpoN (AL347_11175);PA2162;+;PA2162
rpoN (AL347_11175);PA2161;+;PA2161
rpoN (AL347_11175);PA2160;+;PA2160
rpoN (AL347_11175);PA2159;+;PA2159
rpoN (AL347_11175);PA2158;+;PA2158
rpoN (AL347_11175);PA2157;+;PA2157
rpoN (AL347_11175);PA2156;+;PA2156
rpoN (AL347_11175);PA2155;+;PA2155
rpoN (AL347_11175);PA2154;+;PA2154
rpoN (AL347_11175);PA2153;+;PA2153 (glgB)
rpoN (AL347_11175);PA2152;+;PA2152
rpoN (AL347_11175);PA2149;+;PA2149
rpoN (AL347_11175);PA2144;+;PA2144 (glgP)
rpoN (AL347_11175);PA2143;+;PA2143
rpoN (AL347_11175);PA2142;+;PA2142
rpoN (AL347_11175);PA2140;+;PA2140
rpoN (AL347_11175);PA2138;+;PA2138 (ligD)
rpoN (AL347_11175);PA2137;+;PA2137
rpoN (AL347_11175);PA2136;+;PA2136
rpoN (AL347_11175);PA2135;+;PA2135
rpoN (AL347_11175);PA2134;+;PA2134
rpoN (AL347_11175);PA2126;+;PA2126 (cgrC)
rpoN (AL347_11175);PA2115;+;PA2115
rpoN (AL347_11175);PA2045;+;PA2045
rpoN (AL347_11175);PA2042;+;PA2042
rpoN (AL347_11175);PA2021;+;PA2021
rpoN (AL347_11175);PA2004;+;PA2004
rpoN (AL347_11175);exaC;+;exaC
rpoN (AL347_11175);PA1968;+;PA1968
rpoN (AL347_11175);PA1967;+;PA1967
rpoN (AL347_11175);PA1956;+;PA1956 (fapA)
rpoN (AL347_11175);PA1955;+;PA1955 (fapB)
rpoN (AL347_11175);PA1954;+;PA1954 (fapC)
rpoN (AL347_11175);PA1953;+;PA1953 (fapD)
rpoN (AL347_11175);PA1952;+;PA1952 (fapE)
rpoN (AL347_11175);PA1932;+;PA1932
rpoN (AL347_11175);PA1913;+;PA1913
rpoN (AL347_11175);PA1887;+;PA1887
rpoN (AL347_11175);PA1870;+;PA1870
rpoN (AL347_11175);PA1864;+;PA1864
rpoN (AL347_11175);PA1829;+;PA1829
rpoN (AL347_11175);PA1828;+;PA1828
rpoN (AL347_11175);PA1821;+;PA1821
rpoN (AL347_11175);PA1820;+;PA1820 (nhaB)
rpoN (AL347_11175);PA1782;+;PA1782
rpoN (AL347_11175);PA1779;+;PA1779
rpoN (AL347_11175);PA1778;+;PA1778 (cobA)
rpoN (AL347_11175);PA1771;+;PA1771 (estX)
rpoN (AL347_11175);fadB;+;fadB
rpoN (AL347_11175);PA1736;+;PA1736
rpoN (AL347_11175);PA1733;+;PA1733
rpoN (AL347_11175);PA1732;+;PA1732
rpoN (AL347_11175);PA1731;+;PA1731
rpoN (AL347_11175);PA1730;+;PA1730
rpoN (AL347_11175);pscK;+;pscK
rpoN (AL347_11175);pscI;+;pscI
rpoN (AL347_11175);pscH;+;pscH
rpoN (AL347_11175);pscG;+;pscG
rpoN (AL347_11175);pscF;+;pscF
rpoN (AL347_11175);pscC;+;pscC
rpoN (AL347_11175);PA1708;+;PA1708 (popB, pepB)
rpoN (AL347_11175);PA1706;+;PA1706 (pcrV)
rpoN (AL347_11175);PA1703;+;PA1703 (pcrD)
rpoN (AL347_11175);PA1701;+;PA1701 (pcr3)
rpoN (AL347_11175);PA1696;+;PA1696 (pscO)
rpoN (AL347_11175);PA1693;+;PA1693 (pscR)
rpoN (AL347_11175);PA1690;+;PA1690 (pscU)
rpoN (AL347_11175);PA1679;+;PA1679
rpoN (AL347_11175);PA1646;+;PA1646
rpoN (AL347_11175);PA1608;+;PA1608
rpoN (AL347_11175);PA1605;+;PA1605
rpoN (AL347_11175);PA1603;+;PA1603
rpoN (AL347_11175);PA1602;+;PA1602
rpoN (AL347_11175);PA1601;+;PA1601
rpoN (AL347_11175);PA1600;+;PA1600
rpoN (AL347_11175);PA1591;+;PA1591
rpoN (AL347_11175);pauA3;+;pauA3
rpoN (AL347_11175);aer;+;aer
rpoN (AL347_11175);PA4728;+;PA4728 (folK)
rpoN (AL347_11175);ccoN2;+;ccoN2
rpoN (AL347_11175);ccoO2;+;ccoO2
rpoN (AL347_11175);PA1545;+;PA1545
rpoN (AL347_11175);anr;+;anr
rpoN (AL347_11175);PA1543;+;PA1543 (apt)
rpoN (AL347_11175);PA1531;+;PA1531
rpoN (AL347_11175);PA1517;+;PA1517
rpoN (AL347_11175);PA1516;+;PA1516
rpoN (AL347_11175);alc;+;alc
rpoN (AL347_11175);PA1514;+;PA1514
rpoN (AL347_11175);PA1513;+;PA1513
rpoN (AL347_11175);PA1490;+;PA1490
rpoN (AL347_11175);PA1474;+;PA1474
rpoN (AL347_11175);PA1473;+;PA1473
rpoN (AL347_11175);flhA;+;flhA
rpoN (AL347_11175);fliR;+;fliR
rpoN (AL347_11175);fliQ;+;fliQ
rpoN (AL347_11175);fliP;+;fliP
rpoN (AL347_11175);fliO;+;fliO
rpoN (AL347_11175);fliN;+;fliN
rpoN (AL347_11175);fliM;+;fliM
rpoN (AL347_11175);fliL;+;fliL
rpoN (AL347_11175);PA1441;+;PA1441
rpoN (AL347_11175);PA1440;+;PA1440
rpoN (AL347_11175);PA1439;+;PA1439
rpoN (AL347_11175);PA1404;+;PA1404
rpoN (AL347_11175);PA1342;+;PA1342 (aatJ)
rpoN (AL347_11175);PA1324;+;PA1324
rpoN (AL347_11175);cyoE;+;cyoE
rpoN (AL347_11175);cyoD;+;cyoD
rpoN (AL347_11175);cyoC;+;cyoC
rpoN (AL347_11175);cyoB;+;cyoB
rpoN (AL347_11175);cyoA;+;cyoA
rpoN (AL347_11175);PA1277;+;PA1277 (cobQ, cbiP)
rpoN (AL347_11175);lhpP;+;lhpP
rpoN (AL347_11175);PA1259;+;PA1259 (lhpH)
rpoN (AL347_11175);lhpM;+;lhpM
rpoN (AL347_11175);lhpN;+;lhpN
rpoN (AL347_11175);lhpO;+;lhpO
rpoN (AL347_11175);PA1255;+;PA1255 (lhpK)
rpoN (AL347_11175);PA1243;+;PA1243
rpoN (AL347_11175);PA1197;+;PA1197
rpoN (AL347_11175);ddaH;+;ddaH
rpoN (AL347_11175);PA1194;+;PA1194
rpoN (AL347_11175);dctA;+;dctA
rpoN (AL347_11175);dctR;+;dctR
rpoN (AL347_11175);PA1170;+;PA1170
rpoN (AL347_11175);nrdA;+;nrdA
rpoN (AL347_11175);PA1115;+;PA1115
rpoN (AL347_11175);PA1114;+;PA1114
rpoN (AL347_11175);PA1111;+;PA1111
rpoN (AL347_11175);fliJ;+;fliJ
rpoN (AL347_11175);fliI;+;fliI
rpoN (AL347_11175);fliH;+;fliH
rpoN (AL347_11175);fliG;+;fliG
rpoN (AL347_11175);fliF;+;fliF
rpoN (AL347_11175);fliE;+;fliE
rpoN (AL347_11175);fleR;+;fleR
rpoN (AL347_11175);fleS;+;fleS
rpoN (AL347_11175);PA1096;+;PA1096
rpoN (AL347_11175);fliS;+;fliS
rpoN (AL347_11175);fliD;+;fliD
rpoN (AL347_11175);PA1093;+;PA1093
rpoN (AL347_11175);PA1091;+;PA1091 (fgtA)
rpoN (AL347_11175);PA1089;+;PA1089
rpoN (AL347_11175);flgG;+;flgG
rpoN (AL347_11175);flgE;+;flgE
rpoN (AL347_11175);PA1014;+;PA1014 (wapB)
rpoN (AL347_11175);PA1004;+;PA1004 (nadA)
rpoN (AL347_11175);PA0976;+;PA0976
rpoN (AL347_11175);PA0975;+;PA0975
rpoN (AL347_11175);PA0974;+;PA0974
rpoN (AL347_11175);oprL;+;oprL
rpoN (AL347_11175);PA0947;+;PA0947
rpoN (AL347_11175);PA0942;+;PA0942
rpoN (AL347_11175);PA0941;+;PA0941
rpoN (AL347_11175);PA0940;+;PA0940
rpoN (AL347_11175);PA0939;+;PA0939
rpoN (AL347_11175);PA0923;+;PA0923 (dinB, dinP)
rpoN (AL347_11175);PA0921;+;PA0921
rpoN (AL347_11175);PA0910;+;PA0910 (alpD)
rpoN (AL347_11175);PA0812;+;PA0812
rpoN (AL347_11175);PA0811;+;PA0811
rpoN (AL347_11175);PA0810;+;PA0810
rpoN (AL347_11175);asrA;+;asrA
rpoN (AL347_11175);PA0778;+;PA0778 (icp)
rpoN (AL347_11175);PA0777;+;PA0777
rpoN (AL347_11175);vfr;+;vfr
rpoN (AL347_11175);PA0602;+;PA0602
rpoN (AL347_11175);PA0578;+;PA0578
rpoN (AL347_11175);PA0575;+;PA0575 (rmcA)
rpoN (AL347_11175);PA0508;+;PA0508
rpoN (AL347_11175);PA0505;+;PA0505
rpoN (AL347_11175);PA0476;+;PA0476
rpoN (AL347_11175);PA0456;+;PA0456
rpoN (AL347_11175);PA0444;+;PA0444
rpoN (AL347_11175);PA0443;+;PA0443
rpoN (AL347_11175);PA0439;+;PA0439
rpoN (AL347_11175);codB;+;codB
rpoN (AL347_11175);codA;+;codA
rpoN (AL347_11175);PA0431;+;PA0431
rpoN (AL347_11175);PA0382;+;PA0382 (micA, yggH)
rpoN (AL347_11175);PA0381;+;PA0381 (thiG)
rpoN (AL347_11175);PA0354;+;PA0354
rpoN (AL347_11175);PA0329;+;PA0329
rpoN (AL347_11175);PA0328;+;PA0328 (aaaA)
rpoN (AL347_11175);PA0324;+;PA0324
rpoN (AL347_11175);PA0322;+;PA0322
rpoN (AL347_11175);PA0321;+;PA0321
rpoN (AL347_11175);spuH;+;spuH
rpoN (AL347_11175);spuG;+;spuG
rpoN (AL347_11175);spuF;+;spuF
rpoN (AL347_11175);oprE;+;oprE
rpoN (AL347_11175);PA0222;+;PA0222
rpoN (AL347_11175);PA0221;+;PA0221
rpoN (AL347_11175);PA0220;+;PA0220
rpoN (AL347_11175);PA0219;+;PA0219
rpoN (AL347_11175);PA0218;+;PA0218
rpoN (AL347_11175);PA0168;+;PA0168
rpoN (AL347_11175);PA0167;+;PA0167
rpoN (AL347_11175);PA0166;+;PA0166
rpoN (AL347_11175);PA0165;+;PA0165
rpoN (AL347_11175);triC;+;triC
rpoN (AL347_11175);triB;+;triB
rpoN (AL347_11175);PA0156;+;PA0156 (triA)
rpoN (AL347_11175);PA0147;+;PA0147
rpoN (AL347_11175);PA0146;+;PA0146
rpoN (AL347_11175);PA0144;+;PA0144
rpoN (AL347_11175);PA0138;+;PA0138
rpoN (AL347_11175);PA0137;+;PA0137
rpoN (AL347_11175);PA0136;+;PA0136
rpoN (AL347_11175);PA0116;+;PA0116
rpoN (AL347_11175);PA0115;+;PA0115
rpoN (AL347_11175);PA0046;+;PA0046
rpoN (AL347_11175);PA0045;+;PA0045
rpoN (AL347_11175);sbrI;?;sbrI
rpoN (AL347_11175);algD;d;algD
rpoN (AL347_11175);flgB;+;flgB
rpoN (AL347_11175);flgC;+;flgC
rpoN (AL347_11175);flgD;+;flgD
rpoN (AL347_11175);flgF;+;flgF
rpoN (AL347_11175);flgH;+;flgH
rpoN (AL347_11175);flgI;+;flgI
rpoN (AL347_11175);flgJ;+;flgJ
rpoN (AL347_11175);flgK;+;flgK
rpoN (AL347_11175);flgL;+;flgL
rpoN (AL347_11175);flhF;+;flhF
rpoN (AL347_11175);PA1442;+;PA1442
rpoN (AL347_11175);wbpI;+;orfK
rpoN (AL347_11175);wbpK;+;orfM
rpoN (AL347_11175);wbpL;+;orfN
rpoN (AL347_11175);phaG;+;phaG
rpoN (AL347_11175);gacA;?;gacA
rpoS (AL347_24665);rhlI;-;rhlI
rpoS (AL347_24665);exsC;+;exsC
rpoS (AL347_24665);exsE;+;exsE
rpoS (AL347_24665);exsB;+;exsB
rpoS (AL347_24665);exsA;+;exsA
rpoS (AL347_24665);azu;+;azu
rpoS (AL347_24665);coxB;+;coxB
rpoS (AL347_24665);coxA;+;coxA
rpoS (AL347_24665);PA0107;+;PA0107
rpoS (AL347_24665);coIII;+;coIII
rpoS (AL347_24665);cioB;+;cioB
rpoS (AL347_24665);cioA;+;cioA
rpoS (AL347_24665);bphO;+;bphO
rpoS (AL347_24665);bphP;+;bphP
rpoS (AL347_24665);PA1351;?;PA1351
rpoS (AL347_24665);PA5537;+;PA5537
rpoS (AL347_24665);yegQ;+;yegQ
rpoS (AL347_24665);PA5439;+;PA5439
rpoS (AL347_24665);PA5359;+;PA5359
rpoS (AL347_24665);PA5343;+;PA5343
rpoS (AL347_24665);PA5342;+;PA5342
rpoS (AL347_24665);PA5319;+;PA5319 (radC)
rpoS (AL347_24665);PA5283;+;PA5283
rpoS (AL347_24665);PA5208;+;PA5208
rpoS (AL347_24665);PA5207;+;PA5207
rpoS (AL347_24665);arcC;+;arcC
rpoS (AL347_24665);arcB;+;arcB
rpoS (AL347_24665);arcA;+;arcA
rpoS (AL347_24665);arcD;+;arcD
rpoS (AL347_24665);PA5103;+;PA5103 (puuR)
rpoS (AL347_24665);PA5102;+;PA5102
rpoS (AL347_24665);PA5101;+;PA5101
rpoS (AL347_24665);PA5059;+;PA5059
rpoS (AL347_24665);PA5058;+;PA5058 (phaC2, phaC)
rpoS (AL347_24665);aceE;+;aceE
rpoS (AL347_24665);PA4929;+;PA4929
rpoS (AL347_24665);PA4915;+;PA4915
rpoS (AL347_24665);PA4874;+;PA4874
rpoS (AL347_24665);PA4829;+;PA4829 (lpd3)
rpoS (AL347_24665);PA4781;+;PA4781
rpoS (AL347_24665);fur;+;fur
rpoS (AL347_24665);carA;+;carA
rpoS (AL347_24665);PA4757;+;PA4757
rpoS (AL347_24665);carB;+;carB
rpoS (AL347_24665);PA4703;+;PA4703
rpoS (AL347_24665);PA4702;+;PA4702
rpoS (AL347_24665);PA4657;+;PA4657
rpoS (AL347_24665);cupE6;+;cupE6
rpoS (AL347_24665);cupE5;+;cupE5
rpoS (AL347_24665);cupE4;+;cupE4
rpoS (AL347_24665);cupE3;+;cupE3
rpoS (AL347_24665);cupE2;+;cupE2
rpoS (AL347_24665);cupE1;+;cupE1
rpoS (AL347_24665);PA4647;+;PA4647 (uraA, pyrP)
rpoS (AL347_24665);PA4639;+;PA4639
rpoS (AL347_24665);PA4631;+;PA4631
rpoS (AL347_24665);PA4624;+;PA4624 (cdrB)
rpoS (AL347_24665);PA4608;+;PA4608 (mapZ)
rpoS (AL347_24665);PA4607;+;PA4607
rpoS (AL347_24665);PA4573;+;PA4573
rpoS (AL347_24665);PA4540;+;PA4540
rpoS (AL347_24665);PA4523;+;PA4523
rpoS (AL347_24665);PA4497;+;PA4497 (dppA2)
rpoS (AL347_24665);PA4496;+;PA4496 (dppA1)
rpoS (AL347_24665);roxS;+;roxS
rpoS (AL347_24665);roxR;+;roxR
rpoS (AL347_24665);PA4431;+;PA4431
rpoS (AL347_24665);PA4430;+;PA4430
rpoS (AL347_24665);PA4429;+;PA4429
rpoS (AL347_24665);PA4428;+;PA4428 (sspA)
rpoS (AL347_24665);PA4427;+;PA4427 (sspB)
rpoS (AL347_24665);sodB;+;sodB
rpoS (AL347_24665);PA4362;+;PA4362
rpoS (AL347_24665);flp;+;flp
rpoS (AL347_24665);rcpC;+;rcpC
rpoS (AL347_24665);rcpA;+;rcpA
rpoS (AL347_24665);tadA;+;tadA
rpoS (AL347_24665);tadB;+;tadB
rpoS (AL347_24665);tadZ;+;tadZ
rpoS (AL347_24665);tadD;+;tadD
rpoS (AL347_24665);pprB;+;pprB
rpoS (AL347_24665);PA4294;+;PA4294
rpoS (AL347_24665);pprA;+;pprA
rpoS (AL347_24665);PA4282;+;PA4282
rpoS (AL347_24665);PA4281;+;PA4281 (sbcD)
rpoS (AL347_24665);PA4112;+;PA4112
rpoS (AL347_24665);PA3957;+;PA3957
rpoS (AL347_24665);PA3956;+;PA3956
rpoS (AL347_24665);PA3945;+;PA3945
rpoS (AL347_24665);PA3921;+;PA3921
rpoS (AL347_24665);PA3920;+;PA3920 (copA1, yvgX, cueA)
rpoS (AL347_24665);PA3858;+;PA3858
rpoS (AL347_24665);PA3833;+;PA3833
rpoS (AL347_24665);PA3786;+;PA3786
rpoS (AL347_24665);PA3740;+;PA3740
rpoS (AL347_24665);PA3688;+;PA3688
rpoS (AL347_24665);PA3687;+;PA3687 (ppc)
rpoS (AL347_24665);rpoS;?;rpoS
rpoS (AL347_24665);PA3593;+;PA3593
rpoS (AL347_24665);PA3592;+;PA3592
rpoS (AL347_24665);PA3591;+;PA3591
rpoS (AL347_24665);PA3590;+;PA3590
rpoS (AL347_24665);PA3589;+;PA3589
rpoS (AL347_24665);PA3588;+;PA3588
rpoS (AL347_24665);PA3582;+;PA3582 (glpK)
rpoS (AL347_24665);glpF;+;glpF
rpoS (AL347_24665);PA3572;+;PA3572
rpoS (AL347_24665);bfrB;+;bfrB
rpoS (AL347_24665);rhlR;+;rhlR
rpoS (AL347_24665);PA3465;+;PA3465
rpoS (AL347_24665);PA3451;+;PA3451
rpoS (AL347_24665);PA3418;+;PA3418 (ldh)
rpoS (AL347_24665);hsbA;+;hsbA
rpoS (AL347_24665);PA3346;+;PA3346 (hsbR)
rpoS (AL347_24665);PA3340;+;PA3340
rpoS (AL347_24665);clpP2;+;clpP2
rpoS (AL347_24665);PA3311;+;PA3311 (nbdA)
rpoS (AL347_24665);PA3305;+;PA3305
rpoS (AL347_24665);PA3289;+;PA3289
rpoS (AL347_24665);PA3261;+;PA3261
rpoS (AL347_24665);PA3254;+;PA3254
rpoS (AL347_24665);PA3253;+;PA3253
rpoS (AL347_24665);PA3252;+;PA3252
rpoS (AL347_24665);PA3251;+;PA3251
rpoS (AL347_24665);PA3250;+;PA3250
rpoS (AL347_24665);PA3179;+;PA3179
rpoS (AL347_24665);PA3032;+;PA3032 (snr1)
rpoS (AL347_24665);PA2939;+;PA2939
rpoS (AL347_24665);PA2933;+;PA2933
rpoS (AL347_24665);PA2851;+;PA2851 (efp)
rpoS (AL347_24665);PA2841;+;PA2841
rpoS (AL347_24665);PA2801;+;PA2801
rpoS (AL347_24665);PA2790;+;PA2790
rpoS (AL347_24665);PA2779;+;PA2779
rpoS (AL347_24665);PA2746;+;PA2746
rpoS (AL347_24665);PA2700;+;PA2700 (opdB)
rpoS (AL347_24665);PA2677;+;PA2677
rpoS (AL347_24665);PA2573;+;PA2573
rpoS (AL347_24665);PA2572;+;PA2572
rpoS (AL347_24665);PA2571;+;PA2571
rpoS (AL347_24665);PA2563;+;PA2563
